href,title,reviewNum,tag,brand,company,howToUse,ingredients,image,volume,price,totalScore,satisfactionScore,priceScore,rebuyScore,commenter,commentDate,commentContent,commentGood,commentBad
https://daedamo.com/ingre/27320?sca=탈모관련상품&overlaps=5,"
            블랙포레 두피 쿨&딥클린 탄산쿨링        ",962.0,탈모샴푸,블랙포레,애경산업,"미온수로 모발 및 두피를 충분히 적시고 제품의 적당량을 취하여 두피 및 모발에 가볍게 마사지하듯이 사용한 후 물로 깨끗이 감아낸다.
","정제수,소듐C14-16올레핀설포네이트,소듐메틸코코일타우레이트,코카미도프로필베타인,글리세린,아크릴레이트코폴리머,메틸퍼플루오로아이소부틸에터,메틸퍼플루오로부틸에터,소듐코코일알라니네이트,코카마이드메틸엠이에이,폴리쿼터늄-6,피피지-3카프릴릴에터,다이카프릴릴에터,라우릴알코올,폴리쿼터늄-10,폴리쿼터늄-39,판테놀,살리실릭애씨드,카프릴릴글라이콜,나이아신아마이드,탄산수,검정콩추출물,바오밥나무씨추출물,프로판다이올,마카다미아씨오일,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트,에탄올,블루플래그아이리스추출물,병풀추출물,편백잎추출물,부틸렌글라이콜,백미꽃추출물,금불초꽃추출물,영릉향추출물,바이오틴,소듐벤조에이트,벤조익애씨드,멘톨,향료,시트랄,리모넨,리날룰",https://daedamo.com/new/data/file/ingre/2105766459_6su73bUR_397a04ec156c8d061ce7599eae9ef18d600db4b0.png,500ml,"41,500원",,80%,80%,100%,K2646350517,  3달 전    ,," 앞머리 모발이식 13년전에 하고는 프로스카 띄엄띄엄 먹었는데, 정수리 광탈  시작.ㅠ.ㅠ
곧바로 미녹실딜 / 다모다트 진행했고, 1월에 요 샴푸 쿠팡인가에서 행사했을때, 사악한 가격 보고 그냥 속는다 치고 샀는데... 와놔. 이거는  엘땡 건강 닥터 사기꾼 , 태평레 뤼어 따위어 탈모이름조차 꺼내면 안되는 쓰레기와는 확실히 두피열 / 각질 / 비듬 개선요과 뚜렸함.
아시다시피 샴푸는 머리 나는거랑 직접적인 상관없음!
두피열도 사실 기분탓이지만, ..ㅎㅎ. 미녹실딜로 확장된 내 두피모낭을 쾌적한 환경으로 만들어주는거라 보면됨.
발포 기술? 요고 손등에 살짝 문질러 보면 무슨 매직 같음. 부글부글 공기방울이 커짐.ㅋㅋ 신기함.
여튼 비싸서, 딱 두번만 짜는데, 거품 장난 아님. 부글부글
그냥 속는셈 치고 한번씩들 써보삼.
나는 만족함. 좀만 더 할인해주삼. 그 스댕 용기 말고, 리필로 만들어서 가격 내려주삼. 그럼 세번 퍼핑하겠음.ㅋㅋㅋㅋ "," 스댕 용기 개 이쁘고 좋은데, 원가 너무 비싸서 내가 보기에는 가격이 높은 최대 원인인듯함.
요고, 19900원짜리 튜브로 만들어주삼.~ㅠ.ㅠ
그리고 좀 흐르면 굳는데, 요고.. 피같은 내돈 아까움.ㅠ.ㅠ
근데 장점이 다 커버함.          "
,,,,,,,,,,,100%,,,,a337*****,  한 시간 전    , 탈모라 써봤는데 시원하고 좋아요 ,,
,,,,,,,,,,,100%,,,,suwo******,  하루 전    , 머리감을때마다 시원하고좋아요 ,,
,,,,,,,,,,,100%,,,,wall***,  하루 전    , 전에 쿨샴푸를 한번썻는데 맘에들어서 다른색으로 하나 더 주문했습니다. 샘플 사은품도있고 정말좋네여      ,,
,,,,,,,,,,,100%,,,,zzzz****,  2일 전    , 아주좋습니다좋아요~      ,,
,,,,,,,,,,,80%,,,,sj05****,  2일 전    , 향이 진하게 나고 시원한 감이 있어서 좋아요 거품 밀도도 좋고요         ,,
,,,,,,,,,,,100%,,,,my****,  3일 전    , 맨솔이 약하게 있어서 좋아요통이 문제인건지 샴푸가 스물스물 입구로 나오는거 빼고 좋아요 ,,
,,,,,,,,,,,40%,,,,alse****,  3일 전    , 저한테는 안맞네요.      ,,
,,,,,,,,,,,80%,,,,drea******,  4일 전    , 강력한 쿨링샴푸를 원해서 구입했는데. 쿨링감은 강하진 않네요. 탄산땜에 더 강할거라 생각했는데 생각보단 약합니다. 하지만 세정력은 좋고 머리결도 부드러워져서 맘에 드네요.      ,,
,,,,,,,,,,,100%,,,,teso****,  5일 전    , 좋아요 빨라요 재구매요 최고요 감사요 ,,
